Country Name,Country Code,Year,Methane
Indonesia,IDN,2002,172.0738
"Iran, Islamic Rep.",IRN,2002,120.9056
Iraq,IRQ,2002,67.7153
Ireland,IRL,2002,20.3061
Israel,ISR,2002,6.2985
Italy,ITA,2002,52.1709
Jamaica,JAM,2002,1.2432
Japan,JPN,2002,55.1589
Jordan,JOR,2002,2.4047
Kazakhstan,KAZ,2002,35.5145
Kenya,KEN,2002,28.8137
Kiribati,KIR,2002,0.0166
"Korea, Dem. People's Rep.",PRK,2002,23.0333
"Korea, Rep.",KOR,2002,35.4043
Kuwait,KWT,2002,29.1663
Kyrgyz Republic,KGZ,2002,5.0989
Lao PDR,LAO,2002,6.9818
Latvia,LVA,2002,2.1532
Lebanon,LBN,2002,2.109
Lesotho,LSO,2002,1.6135
Liberia,LBR,2002,1.5735
Libya,LBY,2002,36.4809
Lithuania,LTU,2002,4.7039
Luxembourg,LUX,2002,0.6368
"Macao SAR, China",MAC,2002,0.0317
Madagascar,MDG,2002,16.35
Malawi,MWI,2002,3.827
Malaysia,MYS,2002,21.8375
Maldives,MDV,2002,0.0556
Mali,MLI,2002,12.3645
Malta,MLT,2002,0.2205
Marshall Islands,MHL,2002,0.0025
Mauritania,MRT,2002,6.7514
Mauritius,MUS,2002,0.5051
Mexico,MEX,2002,132.9059
"Micronesia, Fed. Sts.",FSM,2002,0.0306
Moldova,MDA,2002,2.3463
Mongolia,MNG,2002,8.2086
Morocco,MAR,2002,18.5938
Mozambique,MOZ,2002,6.1779
Myanmar,MMR,2002,68.7352
Namibia,NAM,2002,4.4928
Nauru,NRU,2002,0.0008
Nepal,NPL,2002,22.1678
Netherlands,NLD,2002,26.9346
New Caledonia,NCL,2002,0.2305
New Zealand,NZL,2002,39.3173
Nicaragua,NIC,2002,6.5767
Niger,NER,2002,12.6703
Nigeria,NGA,2002,217.8265
North Macedonia,MKD,2002,1.7398
Northern Mariana Islands,MNP,2002,0.0035
Norway,NOR,2002,9.5017
Oman,OMN,2002,27.3021
Other small states,OSS,2002,11.4424
Pakistan,PAK,2002,130.8196
Palau,PLW,2002,0.039
Panama,PAN,2002,4.0151
Papua New Guinea,PNG,2002,2.2815
Paraguay,PRY,2002,16.4309
Peru,PER,2002,21.4157
Philippines,PHL,2002,50.4966
Poland,POL,2002,68.1385
Portugal,PRT,2002,11.8374
Puerto Rico (US),PRI,2002,2.0198
Qatar,QAT,2002,22.6283
Romania,ROU,2002,21.5243
Russian Federation,RUS,2002,308.1168
Rwanda,RWA,2002,2.8327
Samoa,WSM,2002,0.1509
Sao Tome and Principe,STP,2002,0.0526
Saudi Arabia,SAU,2002,69.2379
Senegal,SEN,2002,7.1702
Seychelles,SYC,2002,0.0474
Sierra Leone,SLE,2002,2.6391
Singapore,SGP,2002,2.3288
Slovak Republic,SVK,2002,5.7902
Slovenia,SVN,2002,3.9742
Small states,SST,2002,20.7527
Solomon Islands,SLB,2002,0.1507
"Somalia, Fed. Rep.",SOM,2002,23.2497
Spain,ESP,2002,45.144
Sri Lanka,LKA,2002,8.8465
St. Kitts and Nevis,KNA,2002,0.0381
St. Lucia,LCA,2002,0.0617
St. Vincent and the Grenadines,VCT,2002,0.0413
Sudan,SDN,2002,71.3442
Suriname,SUR,2002,0.7491
Sweden,SWE,2002,10.3016
Switzerland,CHE,2002,5.1989
Syrian Arab Republic,SYR,2002,22.2511
Tajikistan,TJK,2002,3.9514
Tanzania,TZA,2002,27.2588
Thailand,THA,2002,73.5577
Timor-Leste,TLS,2002,0.6476
Togo,TGO,2002,2.958
Tonga,TON,2002,0.088
Tunisia,TUN,2002,8.3582
Turkiye,TUR,2002,48.4483
Turkmenistan,TKM,2002,21.324
Turks and Caicos Islands,TCA,2002,0.0089
Tuvalu,TUV,2002,0.0024
Uganda,UGA,2002,14.6756
Ukraine,UKR,2002,80.8869
United Arab Emirates,ARE,2002,22.0584
United Kingdom,GBR,2002,114.0253
United States,USA,2002,816.7794
Uruguay,URY,2002,24.2023
Uzbekistan,UZB,2002,43.1471
Vanuatu,VUT,2002,0.3292
"Venezuela, RB",VEN,2002,69.866
Viet Nam,VNM,2002,92.2803
Virgin Islands (U.S.),VIR,2002,0.0191
"Yemen, Rep.",YEM,2002,12.9369
Zambia,ZMB,2002,7.2995
Zimbabwe,ZWE,2002,11.1783
Afghanistan,AFG,2003,11.9667
Albania,ALB,2003,2.9486
Algeria,DZA,2003,54.5887
Angola,AGO,2003,42.7492
Antigua and Barbuda,ATG,2003,0.0757
Argentina,ARG,2003,135.0038
Armenia,ARM,2003,2.1287
Aruba,ABW,2003,0.0779
Australia,AUS,2003,138.2411
Austria,AUT,2003,10.9187
Azerbaijan,AZE,2003,9.8062
"Bahamas, The",BHS,2003,0.2426
Bahrain,BHR,2003,17.0816
Bangladesh,BGD,2003,58.5887
Barbados,BRB,2003,0.1902
Belarus,BLR,2003,15.9532
Belgium,BEL,2003,14.519
Belize,BLZ,2003,0.307
Benin,BEN,2003,3.613
Bermuda,BMU,2003,0.0218
Bhutan,BTN,2003,0.8154
Bolivia,BOL,2003,17.7118
Bosnia and Herzegovina,BIH,2003,3.8524
Botswana,BWA,2003,3.8606
Brazil,BRA,2003,467.7436
British Virgin Islands,VGB,2003,0.0095
Brunei Darussalam,BRN,2003,2.2356
Bulgaria,BGR,2003,9.1347
Burkina Faso,BFA,2003,13.5709
Burundi,BDI,2003,2.169
Cabo Verde,CPV,2003,0.1231
Cambodia,KHM,2003,17.5417
Cameroon,CMR,2003,19.3246
Canada,CAN,2003,132.5201
Cayman Islands,CYM,2003,0.017
Chad,TCD,2003,23.5718
Chile,CHL,2003,20.7625
China,CHN,2003,1073.2738
Colombia,COL,2003,75.7852
Comoros,COM,2003,0.2861
